known_status,reaction_id,mcid,pdg_identifier,title,reactant_names_aaa,product_names_aaa,reactant_electrinos,product_electrinos,electrino_delta,reactant_positrinos,product_positrinos,positrino_delta
k,mu_minus_s004_1,13,S004.1/2025,mu- decay mode 1,e2,e.av.v2,20,20,0,14,14,0
k,mu_minus_s004_2,13,S004.2/2025,mu- decay mode 2,e2,e.av.v2.hp,26,26,0,20,20,0
k,mu_minus_s004_7,13,S004.7/2025,mu- decay mode 3,e2,e.av.v2.ae.e,32,32,0,26,26,0
k,pi_plus_s008_1,211,S008.1/2025,pi+ decay mode 1,u.ad,ae2.v2,9,7,2,15,13,2
k,mu_minus_s004_4,13,S004.4/2025,mu- decay mode 5,e2,e.hp,20,15,5,14,9,5
u,pbar_s016_16,-2212,S016.16/2025,pbar decay mode 49,aP,e.e.ae,21,21,0,15,15,0
u,pbar_s016_3,-2212,S016.3/2025,pbar decay mode 42,aP,e.hp,21,21,0,15,15,0
u,pbar_s016_47,-2212,S016.47/2025,pbar decay mode 36,aP,ae.d.au.d.au,33,33,0,27,27,0
u,pbar_s016_54,-2212,S016.54/2025,pbar decay mode 45,aP,e.hp.hp,21,21,0,15,15,0
u,pbar_s016_56,-2212,S016.56/2025,pbar decay mode 23,aP,e.d.au.u.ad,33,33,0,27,27,0
u,pbar_s016_57,-2212,S016.57/2025,pbar decay mode 24,aP,e.u.au.d.ad.u.au.d.ad,57,57,0,51,51,0
u,pbar_s016_63,-2212,S016.63/2025,pbar decay mode 68,aP,aN.d.au.u.au.d.ad,57,57,0,51,51,0
u,pbar_s016_81,-2212,S016.81/2025,pbar decay mode 83,aP,e.hp,21,21,0,15,15,0
u,pbar_s016_82,-2212,S016.82/2025,pbar decay mode 85,aP,e.u.au.d.ad,33,33,0,27,27,0
u,pbar_s016_94,-2212,S016.94/2025,pbar decay mode 93,aP,e.hp.hp,21,21,0,15,15,0
u,nbar_s017_1,-2112,S017.1/2025,nbar decay mode 1,aN,P.e.av,30,30,0,30,30,0
u,nbar_s017_4,-2112,S017.4/2025,nbar decay mode 2,aN,P.e.av.hp,36,36,0,36,36,0
u,b_minus_s041_183,-521,S041.183/2025,B- decay mode 40,au.d3,e2.av2,13,13,0,7,7,0
u,b_minus_s041_235,-521,S041.235/2025,B- decay mode 44,au.d3,e2.av2.hp,19,19,0,13,13,0
u,b_minus_s041_241,-521,S041.241/2025,B- decay mode 448,au.d3,au.d2.d.ad2,25,25,0,19,19,0
u,b_minus_s041_254,-521,S041.254/2025,B- decay mode 546,au.d3,d2.ad2.d.au,25,25,0,19,19,0
u,b_minus_s041_284,-521,S041.284/2025,B- decay mode 455,au.d3,au.d2.u.ad2.d.au,37,37,0,31,31,0
u,b_minus_s041_285,-521,S041.285/2025,B- decay mode 461,au.d3,au.d2.au.d2.u.ad,37,37,0,31,31,0
u,b_minus_s041_306,-521,S041.306/2025,B- decay mode 449,au.d3,d.ad2.au.d2.u.au.d.ad,49,49,0,43,43,0
u,b_minus_s041_586,-521,S041.586/2025,B- decay mode 655,au.d3,d.au.e.ae3,25,25,0,19,19,0
u,b_minus_s041_587,-521,S041.587/2025,B- decay mode 656,au.d3,d.au.ae.e3,25,25,0,19,19,0
u,b_minus_s041_631,-521,S041.631/2025,B- decay mode 37,au.d3,aP.P.e2.av2,49,49,0,43,43,0
u,b_minus_s041_80,-521,S041.80/2025,B- decay mode 542,au.d3,u.au.d.ad.d2.ad2.d.au,49,49,0,43,43,0
u,b_minus_s041_88,-521,S041.88/2025,B- decay mode 632,au.d3,d.au.e2.ae2,25,25,0,19,19,0
u,b_minus_s041_89,-521,S041.89/2025,B- decay mode 661,au.d3,au.d2.e.ae2,25,25,0,19,19,0
u,b_minus_s041_90,-521,S041.90/2025,B- decay mode 662,au.d3,au.d2.ae.e2,25,25,0,19,19,0
u,b_minus_s041_93,-521,S041.93/2025,B- decay mode 674,au.d3,u.ad.e2.e2,25,25,0,19,19,0
u,b_minus_s041_95,-521,S041.95/2025,B- decay mode 681,au.d3,u.ad2.e.e2,25,25,0,19,19,0
u,bbar0_s042_106,-511,S042.106/2025,Bbar0 decay mode 354,ad.d3,u.ad2.au.d2,22,22,0,22,22,0
u,bbar0_s042_162,-511,S042.162/2025,Bbar0 decay mode 355,ad.d3,d.ad2.ad.d2,22,22,0,22,22,0
u,bbar0_s042_178,-511,S042.178/2025,Bbar0 decay mode 439,ad.d3,d2.ad2.u.au.d.ad,34,34,0,34,34,0
u,bbar0_s042_193,-511,S042.193/2025,Bbar0 decay mode 420,ad.d3,d2.ad2.hp,16,16,0,16,16,0
u,bbar0_s042_228,-511,S042.228/2025,Bbar0 decay mode 356,ad.d3,d.ad2.au.d2.u.ad,34,34,0,34,34,0
u,bbar0_s042_230,-511,S042.230/2025,Bbar0 decay mode 359,ad.d3,u.ad2.au.d2.u.au.d.ad,46,46,0,46,46,0
u,bbar0_s042_381,-511,S042.381/2025,Bbar0 decay mode 557,ad.d3,u.au.d.ad.ae2.e2,34,34,0,34,34,0
u,bbar0_s042_405,-511,S042.405/2025,Bbar0 decay mode 550,ad.d3,ae2.e2.hp,16,16,0,16,16,0
u,bbar0_s042_519,-511,S042.519/2025,Bbar0 decay mode 559,ad.d3,u.au.d.ad.d2.ad2.ae.e,46,46,0,46,46,0
u,bbar0_s042_550,-511,S042.550/2025,Bbar0 decay mode 577,ad.d3,u.ad.d.au.ae2.e2,34,34,0,34,34,0
u,bbar0_s042_570,-511,S042.570/2025,Bbar0 decay mode 442,ad.d3,d2.ad2.u.ad.d.au,34,34,0,34,34,0
u,bbar0_s042_572,-511,S042.572/2025,Bbar0 decay mode 483,ad.d3,P.aP.u.ad2.au.d2,58,58,0,58,58,0
u,bbar0_s042_60,-511,S042.60/2025,Bbar0 decay mode 425,ad.d3,u.au.d.ad.d2.ad2.u.au.d.ad,58,58,0,58,58,0
u,bbar0_s042_7,-511,S042.7/2025,Bbar0 decay mode 549,ad.d3,ae2.e2,10,10,0,10,10,0
u,bbar0_s042_83,-511,S042.83/2025,Bbar0 decay mode 24,ad.d3,d.au.ae2.v2,22,22,0,22,22,0
u,k_minus_s010_125,-321,S010.125/2025,K- decay mode 50,au.d2,u.au.d.ad.u.ad.e2.e,50,50,0,44,44,0
u,k_minus_s010_126,-321,S010.126/2025,K- decay mode 48,au.d2,u.au.d.ad.d.au.ae2.e,50,50,0,44,44,0
u,k_minus_s010_127,-321,S010.127/2025,K- decay mode 46,au.d2,u.au.d.ad.d.au.e2.ae,50,50,0,44,44,0
u,k_minus_s010_25,-321,S010.25/2025,K- decay mode 47,au.d2,d.au.ae2.e,26,26,0,20,20,0
u,k_minus_s010_29,-321,S010.29/2025,K- decay mode 45,au.d2,d.au.e2.ae,26,26,0,20,20,0
u,k_minus_s010_34,-321,S010.34/2025,K- decay mode 44,au.d2,e2.av,14,14,0,8,8,0
u,k_minus_s010_35,-321,S010.35/2025,K- decay mode 54,au.d2,e2.v,14,14,0,8,8,0
u,k_minus_s010_45,-321,S010.45/2025,K- decay mode 49,au.d2,u.ad.e2.e,26,26,0,20,20,0
u,pi_minus_s008_2,-211,S008.2/2025,pi- decay mode 3,d.au,e.av,15,15,0,9,9,0
u,pi_minus_s008_4,-211,S008.4/2025,pi- decay mode 5,d.au,e.av.u.au.d.ad,39,39,0,33,33,0
u,pi_minus_s008_5,-211,S008.5/2025,pi- decay mode 4,d.au,e.av.hp,21,21,0,15,15,0
u,pi_minus_s008_6,-211,S008.6/2025,pi- decay mode 6,d.au,e.av.e.ae,27,27,0,21,21,0
u,tau_plus_s035_106,-15,S035.106/2025,tau+ decay mode 247,ae3,P.u.au.d.ad.d2.ad2,49,49,0,55,55,0
u,tau_plus_s035_12,-15,S035.12/2025,tau+ decay mode 9,ae3,u.ad.av3,13,13,0,19,19,0
u,tau_plus_s035_16,-15,S035.16/2025,tau+ decay mode 14,ae3,u.ad.u.au.d.ad.av3,37,37,0,43,43,0
u,tau_plus_s035_2,-15,S035.2/2025,tau+ decay mode 5,ae3,ae.v.av3,13,13,0,19,19,0
u,tau_plus_s035_210,-15,S035.210/2025,tau+ decay mode 112,ae3,ae.ae.e.v.av3,25,25,0,31,31,0
u,tau_plus_s035_228,-15,S035.228/2025,tau+ decay mode 236,ae3,ae.u.au.d.ad.u.au.d.ad.d2.ad2,61,61,0,67,67,0
u,tau_plus_s035_251,-15,S035.251/2025,tau+ decay mode 224,ae3,ae.au.d2.u.ad2,25,25,0,31,31,0
u,tau_plus_s035_252,-15,S035.252/2025,tau+ decay mode 225,ae3,e.u.ad2.u.ad2,25,25,0,31,31,0
u,tau_plus_s035_255,-15,S035.255/2025,tau+ decay mode 208,ae3,ae.d2.ad2,13,13,0,19,19,0
u,tau_plus_s035_257,-15,S035.257/2025,tau+ decay mode 67,ae3,u.ad.d.au.u.ad.av3,37,37,0,43,43,0
u,tau_plus_s035_261,-15,S035.261/2025,tau+ decay mode 76,ae3,u.ad.d.au.u.ad.u.au.d.ad.av3,61,61,0,67,67,0
u,tau_plus_s035_269,-15,S035.269/2025,tau+ decay mode 248,ae3,P.u.au.d.ad.u.au.d.ad.d2.ad2,73,73,0,79,79,0
u,tau_plus_s035_274,-15,S035.274/2025,tau+ decay mode 6,ae3,ae.v.av3.hp,19,19,0,25,25,0
u,tau_plus_s035_334,-15,S035.334/2025,tau+ decay mode 242,ae3,aP.ae2.ae2,25,25,0,31,31,0
u,tau_plus_s035_335,-15,S035.335/2025,tau+ decay mode 243,ae3,P.e2.ae2,25,25,0,31,31,0
u,tau_plus_s035_350,-15,S035.350/2025,tau+ decay mode 114,ae3,u.ad.ae.e.av3,25,25,0,31,31,0
u,tau_plus_s035_36,-15,S035.36/2025,tau+ decay mode 211,ae3,ae.e2.ae2,13,13,0,19,19,0
u,tau_plus_s035_51,-15,S035.51/2025,tau+ decay mode 226,ae3,ae2.d.au.u.ad2,25,25,0,31,31,0
u,tau_plus_s035_52,-15,S035.52/2025,tau+ decay mode 228,ae3,e2.u.ad.u.ad2,25,25,0,31,31,0
u,tau_plus_s035_55,-15,S035.55/2025,tau+ decay mode 212,ae3,e.ae2.ae2,13,13,0,19,19,0
u,tau_plus_s035_67,-15,S035.67/2025,tau+ decay mode 194,ae3,ae.u.au.d.ad.d2.ad2,37,37,0,43,43,0
u,tau_plus_s035_78,-15,S035.78/2025,tau+ decay mode 227,ae3,ae2.u.ad.au.d2,25,25,0,31,31,0
u,mu_plus_s004_1,-13,S004.1/2025,mu+ decay mode 1,ae2,ae.v.av2,14,14,0,20,20,0
u,mu_plus_s004_2,-13,S004.2/2025,mu+ decay mode 2,ae2,ae.v.av2.hp,20,20,0,26,26,0
u,mu_plus_s004_3,-13,S004.3/2025,mu+ decay mode 4,ae2,ae.av.v2,14,14,0,20,20,0
u,mu_plus_s004_7,-13,S004.7/2025,mu+ decay mode 3,ae2,ae.v.av2.e.ae,26,26,0,32,32,0
u,phi_2170_0_m103_3,0,M103.3/2025,phi(2170)0 decay mode 7,d2.ad2,u.ad2.au.d2.u.ad.d.au,46,46,0,46,46,0
u,phi_2170_minus_m103_3,0,M103.3/2025,phi(2170)- decay mode 7,d2.ad2,u.ad2.au.d2.u.ad.d.au,46,46,0,46,46,0
u,phi_2170_plus_m103_3,0,M103.3/2025,phi(2170)+ decay mode 7,d2.ad2,u.ad2.au.d2.u.ad.d.au,46,46,0,46,46,0
u,phi_2170_0_m103_4,0,M103.4/2025,phi(2170)0 decay mode 9,d2.ad2,u.ad2.au.d2.u.au.d.ad.u.au.d.ad,70,70,0,70,70,0
u,phi_2170_minus_m103_4,0,M103.4/2025,phi(2170)- decay mode 9,d2.ad2,u.ad2.au.d2.u.au.d.ad.u.au.d.ad,70,70,0,70,70,0
u,phi_2170_plus_m103_4,0,M103.4/2025,phi(2170)+ decay mode 9,d2.ad2,u.ad2.au.d2.u.au.d.ad.u.au.d.ad,70,70,0,70,70,0
u,mu_minus_s004_3,13,S004.3/2025,mu- decay mode 4,e2,e.v.av2,20,20,0,14,14,0
u,tau_minus_s035_106,15,S035.106/2025,tau- decay mode 247,e3,aP.u.au.d.ad.d2.ad2,55,55,0,49,49,0
u,tau_minus_s035_12,15,S035.12/2025,tau- decay mode 9,e3,d.au.v3,19,19,0,13,13,0
u,tau_minus_s035_16,15,S035.16/2025,tau- decay mode 14,e3,d.au.u.au.d.ad.v3,43,43,0,37,37,0
u,tau_minus_s035_2,15,S035.2/2025,tau- decay mode 5,e3,e.av.v3,19,19,0,13,13,0
u,tau_minus_s035_210,15,S035.210/2025,tau- decay mode 112,e3,e.e.ae.av.v3,31,31,0,25,25,0
u,tau_minus_s035_228,15,S035.228/2025,tau- decay mode 236,e3,e.u.au.d.ad.u.au.d.ad.d2.ad2,67,67,0,61,61,0
u,tau_minus_s035_251,15,S035.251/2025,tau- decay mode 224,e3,e.u.ad2.au.d2,31,31,0,25,25,0
u,tau_minus_s035_252,15,S035.252/2025,tau- decay mode 225,e3,ae.au.d2.au.d2,31,31,0,25,25,0
u,tau_minus_s035_255,15,S035.255/2025,tau- decay mode 208,e3,e.d2.ad2,19,19,0,13,13,0
u,tau_minus_s035_257,15,S035.257/2025,tau- decay mode 67,e3,d.au.u.ad.d.au.v3,43,43,0,37,37,0
u,tau_minus_s035_261,15,S035.261/2025,tau- decay mode 76,e3,d.au.u.ad.d.au.u.au.d.ad.v3,67,67,0,61,61,0
u,tau_minus_s035_269,15,S035.269/2025,tau- decay mode 248,e3,aP.u.au.d.ad.u.au.d.ad.d2.ad2,79,79,0,73,73,0
u,tau_minus_s035_274,15,S035.274/2025,tau- decay mode 6,e3,e.av.v3.hp,25,25,0,19,19,0
u,tau_minus_s035_334,15,S035.334/2025,tau- decay mode 242,e3,P.e2.e2,31,31,0,25,25,0
u,tau_minus_s035_335,15,S035.335/2025,tau- decay mode 243,e3,aP.ae2.e2,31,31,0,25,25,0
u,tau_minus_s035_350,15,S035.350/2025,tau- decay mode 114,e3,d.au.e.ae.v3,31,31,0,25,25,0
u,tau_minus_s035_36,15,S035.36/2025,tau- decay mode 211,e3,e.ae2.e2,19,19,0,13,13,0
u,tau_minus_s035_42,15,S035.42/2025,tau- decay mode 192,e3,e.d.ad2.ad.d2,31,31,0,25,25,0
u,tau_minus_s035_51,15,S035.51/2025,tau- decay mode 226,e3,e2.u.ad.au.d2,31,31,0,25,25,0
u,tau_minus_s035_52,15,S035.52/2025,tau- decay mode 228,e3,ae2.d.au.au.d2,31,31,0,25,25,0
u,tau_minus_s035_55,15,S035.55/2025,tau- decay mode 212,e3,ae.e2.e2,19,19,0,13,13,0
u,tau_minus_s035_67,15,S035.67/2025,tau- decay mode 194,e3,e.u.au.d.ad.d2.ad2,43,43,0,37,37,0
u,tau_minus_s035_78,15,S035.78/2025,tau- decay mode 227,e3,e2.d.au.u.ad2,31,31,0,25,25,0
u,pi0_s009_1,111,S009.1/2025,pi0 decay mode 1,u.au.d.ad,hp.hp,24,24,0,24,24,0
u,pi0_s009_11,111,S009.11/2025,pi0 decay mode 8,u.au.d.ad,v.av,24,24,0,24,24,0
u,pi0_s009_2,111,S009.2/2025,pi0 decay mode 2,u.au.d.ad,ae.e.hp,24,24,0,24,24,0
u,pi0_s009_3,111,S009.3/2025,pi0 decay mode 4,u.au.d.ad,ae.ae.e.e,24,24,0,24,24,0
u,pi0_s009_4,111,S009.4/2025,pi0 decay mode 12,u.au.d.ad,hp.hp.hp,24,24,0,24,24,0
u,pi0_s009_5,111,S009.5/2025,pi0 decay mode 6,u.au.d.ad,hp.hp.hp.hp,24,24,0,24,24,0
u,pi0_s009_6,111,S009.6/2025,pi0 decay mode 5,u.au.d.ad,ae.e,24,24,0,24,24,0
u,pi_plus_s008_2,211,S008.2/2025,pi+ decay mode 3,u.ad,ae.v,9,9,0,15,15,0
u,pi_plus_s008_4,211,S008.4/2025,pi+ decay mode 5,u.ad,ae.v.u.au.d.ad,33,33,0,39,39,0
u,pi_plus_s008_5,211,S008.5/2025,pi+ decay mode 4,u.ad,ae.v.hp,15,15,0,21,21,0
u,pi_plus_s008_6,211,S008.6/2025,pi+ decay mode 6,u.ad,ae.v.ae.e,21,21,0,27,27,0
u,eta_s014_109,221,S014.109/2025,eta decay mode 17,u.au.d.ad.d2.ad2,ae.e.ae2.e2,34,34,0,34,34,0
