s,partner_roots,self_roots,F_r,F_theta,native_max_formula_error,evidence_status
0.25,1,0,0.25754643968188806,0.063756502852694602,7.7033823764338649e-11,native_certified_complete
0.5,1,0,0.27766448369912611,0.13419011963637137,1.977499275440664e-10,native_certified_complete
0.75,1,0,0.30571797650810029,0.21518195976694895,1.3838685752887159e-10,native_certified_complete
0.9,1,0,0.32485402740923669,0.26954707398243699,5.6683496785225884e-10,native_certified_complete
0.95,1,0,0.33149992440518133,0.28866681422197871,9.9992025770490045e-10,native_certified_complete
0.99,1,0,0.33689656472641799,0.30432572237969907,4.9847764804766825e-10,native_certified_complete
0.999,1,0,0.33811990101976797,0.30789360069781974,1.0040969722346915e-9,native_certified_complete
1.001,1,1,-2.8934518935361297,41.962765864470562,,derived_hinge_formula_native_self_cluster_unresolved
1.01,1,1,-0.69480669995018918,4.4655456817895969,3.4859468467374199e-7,native_certified_complete
1.05,1,1,-0.1424343691765298,1.144707812198545,4.2592869897717378e-8,native_certified_complete
1.1,1,1,-0.015108735539742735,0.74398536621327915,3.5349599913914176e-8,native_certified_complete
1.1107207345395915,1,1,-1.3322676295501878e-15,0.70710678118654435,,exact_radial_balance_cutoff
1.2,1,1,0.073983734580236382,0.56863318901870508,4.8787142770123637e-8,native_certified_complete
1.5,1,1,0.15919530536883819,0.5514432015113877,3.2189580778663185e-8,native_certified_complete
1.5707963267948966,1,1,0.17044248964640912,0.56850762000403299,,exact_self_tangential_sign_change
2,1,1,0.22171636489495994,0.71943867388738825,1.0892306057108669e-8,native_certified_complete
3,3,1,0.84873314990555038,1.0326652054339631,2.1973772068584196e-7,native_certified_complete
