time,t_over_h,radius_spread,s_spread,relative_s_spread,circular_radius,circular_s,log-spiral-in_radius,log-spiral-in_s,log-spiral-out_radius,log-spiral-out_s,perturbed_radius,perturbed_s
0,0,0,7.771561172376096e-16,3.1086244689504336e-15,3.7101819613481504,0.2499999999999996,3.7101819613481504,0.2500000000000004,3.7101819613481504,0.25000000000000006,3.7101819613481504,0.24999999999999994
2.5,0.25,0.3683723921524682,0.027618938555824007,0.10082531588703789,3.7116268971023083,0.2603626390746574,3.5231859733303508,0.2739286092271465,3.891558365482819,0.2463096706713225,3.7136841804913097,0.2597842657212094
5,0.5,0.7222075680336921,0.0556987838362934,0.18623504528509838,3.721858973328578,0.2703008621560802,3.344177823712635,0.29907788703799965,4.066385391746327,0.24337910320170625,3.7288018519609274,0.2691009941229069
7.5,0.75,1.0423349055901743,0.08409612679533068,0.2587837617141689,3.749705789379846,0.27937717946600854,3.1949513979495854,0.3249667839986664,4.23728630353976,0.24087065720333573,3.75953858965821,0.2781478387607597
10,1,1.3021041573007,0.11152911027366005,0.31860210804222394,3.8034326181369082,0.28713345321152456,3.104563079858066,0.35005766584218345,4.406667237158766,0.2385285555685234,3.8139349966555125,0.2857548317502545
12.5,1.25,1.4700068261916726,0.13488073027325198,0.3634562423724092,3.89018490379824,0.2930812994053312,3.1061656219841445,0.37110582939183295,4.576172448175817,0.23622509911858097,3.9002494885311436,0.291605705538627
15,1.5,1.5196817719984241,0.15075134551271993,0.3919146772802009,4.015178421742584,0.2968916640683303,3.2272407920509756,0.38465348263785404,4.7469225640494,0.2339021371251341,4.023721600195095,0.29539150450084867
17.5,1.75,1.4418271415194392,0.1577019874014435,0.4051673235970457,4.181111041896914,0.29846901063025766,3.477898161499431,0.3892268162234231,4.91972530301887,0.23152482882197958,4.1870579452777354,0.29700877871488435
20,2,1.247429314662467,0.15724341429625993,0.4070300287106022,4.388060707141512,0.29795379404950084,3.847706225072817,0.3863189524231879,5.095135539735284,0.229075538126928,4.390476038662573,0.296580397267241
22.5,2.25,0.9597938315268264,0.15239105066549516,0.4021511287424023,4.6338653421392815,0.29566528639687667,4.313705312514076,0.3789397561609461,5.273499144040902,0.22654870549545095,4.632022080499171,0.2944052387309464
25,2.5,0.6040658805315182,0.14578854025657048,0.3943048215293419,4.9148060525037485,0.2920121070000413,4.850925481712281,0.3697356265924376,5.454991362243799,0.2239470863358671,4.9081997746987005,0.29087273263820457
27.5,2.75,0.42497527555913095,0.13903971269278878,0.3858799655972993,5.226351590429445,0.28740798398560713,5.438354951655542,0.3603185578125849,5.639652447702671,0.22127884511979615,5.21467717214354,0.28638233386466744
30,3,0.51344578207555,0.13290173632111119,0.37814497444425116,5.5637798382040105,0.2822159743290646,6.060335813897401,0.3514571005906744,5.8274186006045605,0.21855536426956323,5.546890031821851,0.28128876540741204
32.5,3.25,0.8053750390275072,0.12764143895948094,0.3716653824243102,5.9225998777626625,0.27672424989415895,6.705835625634661,0.34343106728664774,6.01814831308424,0.2157896283271668,5.900460586607154,0.27587681830996263
35,3.5,1.1556048780057768,0.12328810831769127,0.36661991195737803,6.2987835504316205,0.2711447027624245,7.3672492296034315,0.3362831758358622,6.211644351597655,0.21299506751817093,6.271434656454642,0.2703583075921989
37.5,3.75,1.6316851698681827,0.11977151849348583,0.3629920814805875,6.6888549095035055,0.26562345773460966,8.039356933069612,0.3299562844593102,6.40767176320143,0.21018476596582436,6.656379976105319,0.2648810853272868
40,4,2.1125892260767865,0.11698855634513114,0.36067558967830277,7.089890718502127,0.26025520800223284,8.718561566416184,0.3243595066954121,6.605972340339398,0.20737095035028094,7.052395489133139,0.259542319017448
42.5,4.25,2.5960890470013087,0.11483278767072158,0.3595294138825899,7.499473946183494,0.2550969313524043,9.402365044814044,0.31939747691470405,6.806275997812735,0.20456468924398247,7.457072083436455,0.2544015778091219
45,4.5,3.0807081180209153,0.11320629480320601,0.3594055536961571,7.915627953092331,0.25017920314406356,10.089017635106508,0.314982040869939,7.008309517085593,0.20177574606673296,7.868432152264624,0.2494918256199479
47.5,4.75,3.5654808972755605,0.11202344763732602,0.3601623350928709,8.336747377470402,0.24551479464895606,10.777283989470247,0.31103598772603425,7.211803092194686,0.19901254008870822,8.284864210489017,0.24482789131811142
50,5,4.049791226963424,0.11121119217303096,0.36167020884369244,8.76153380778018,0.2411048848755843,11.466286302711406,0.3074933722868352,7.416495075747982,0.19628218011380424,8.705061032021874,0.240412657014872
52.5,5.25,4.5332628914956405,0.11070796931308821,0.36381370407696045,9.18893956964159,0.23694339753895932,12.155398169986336,0.30429851342177383,7.6221352784906955,0.19359054410868562,9.127964998674413,0.23624142152468952
